Country,Adult Mortality,infant deaths,percentage expenditure,Hepatitis B,Measles ,BMI,under-five deaths,Polio,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Schooling,Life expectancy
Liberia,29.95,74.52,25.97,76,0,24,11,75,76,1.1,3264000000,5057681,6.8,5.7,9.8,61.1
Montenegro,15.34,0,18.5,9,0,6.7,0,94,94,0.1,5504000000,628066,1.8,1.9,15.1,75.8
Rwanda,35.31,64.04,18.94,98,17,22.1,17,98,98,0.5,9509000000,12952218,5.9,4.9,10.8,65.2
Georgia,18.23,15.17,25.69,96,7872,27.1,1,94,93,0.1,17600000000,3989167,2.7,2.8,13.5,74.5
Armenia,18.69,1,25.71,95,10,53.3,1,96,95,0.1,12430000000,2989359,4.2,4.1,13.7,74.4
Mexico,30.73,17.29,20.99,82,0,28.1,37,83,83,0.1,1.22E+12,128932753,1.6,1.9,13.9,76.6
Cyprus,10.32,0,36.61,96,0,59.2,0,99,99,0.1,24960000000,1207359,1.9,2.1,15.8,81
Samoa,21.99,0,22.99,6,0,73.8,0,62,67,0.1,8.21E+11,198414,1.2,1.1,13.9,73.6
Guyana,44.44,0,17.84,98,0,45,1,98,98,0.3,3879000000,786552,4.5,4.3,10.3,65.9
Bosnia and Herzegovina,14.35,0,35.33,91,0,54.7,0,87,89,0.1,20160000000,3280819,2.4,2.8,14.2,77
Uzbekistan,27.18,17,18.41,99,0,43,19,99,99,0.1,50500000000,33469203,3,3.1,11,69.1
Madagascar,33.8,29,10.62,74,6,19.5,40,73,74,0.4,13850000000,27691018,7.3,7.2,10.3,64.7
Paraguay,32.24,3,20.7,86,0,48.6,3,8,86,0.2,40500000000,7132538,2,2.9,13.3,73.8
Austria,10.77,4.32,45.57,95,0,25.4,0,95,95,0.1,4.55E+11,9006398,1.8,2,15.7,81.1
Morocco,17.48,18,23.22,99,92,56.5,21,99,99,0.1,1.18E+11,36910560,6.4,6.2,12.1,73.9
Guinea,27.38,27,16.27,63,53,22.2,41,63,63,1,10910000000,13132795,6.7,6.6,8.5,58.8
Guatemala,35.55,11,11.84,85,0,49.3,13,84,85,0.4,78460000000,17915568,2.2,2.3,13.7,71.4
Lesotho,53.42,4,40.34,93,516,31.4,6,9,93,9.6,2739000000,2142249,5.1,5.9,8.1,52.1
Argentina,18.78,8,26.31,94,0,61.6,10,99,94,0.1,5.20E+11,42539925,1,1.9,17.3,76
Botswana,46.47,2,25.81,95,1,36.8,2,96,95,2.8,18620000000,2351627,8,7.7,11.6,64.2
